B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Ni,Zn,Sr,Zr,Sn,Sb,Ce,Température,ph,Ln(V0)
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,40,10.89,-2.32995629
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,40,11.74,-1.052683357
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,70,8.08,-2.234926445
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,70,8.88,-1.682008605
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,70,10.43,-0.1578240852
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,70,11.08,0.5481214085
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,90,7.72,-1.164752091
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,90,8.52,-0.412489723
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,90,10.06,1.232560261
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,23,8.99,-5.489477872
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,23,9.99,-4.730733409
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,23,11.0,-4.022954566
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,23,12.02,-3.158251203
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,40,8.67,-4.104394898
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,40,9.55,-2.437259996
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,40,10.89,-2.302585093
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,40,11.74,-0.9441759354
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,70,8.08,-2.137070655
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,70,8.88,-0.5798184953
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,70,10.43,-0.05762911284
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,70,11.08,1.247032294
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,90,7.72,-1.049822124
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,90,8.52,0.1988508587
9.57,60.33,7.58,0,2.3,18.0,0,0,1.72,0,0,0,0,0,0.52,0,0,0,90,10.06,1.305626458
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,23,8.99,-6.151633299
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,23,9.99,-5.496768305
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,23,11.0,-4.439655748
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,23,12.02,-3.231454607
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,40,8.67,-3.853754097
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,40,9.55,-3.984593698
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,40,10.89,-1.698269126
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,40,11.74,-0.4292456368
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,70,8.08,-1.924148657
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,70,8.88,-1.731605546
