Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Mn,Fe,Ni,Zn,Rb,Sr,Y,Zr,Mo,Ru,Te,I,Cs,Ba,La,Hf,Ce,Pr,Nd,S_autres_TR,Température,ph,Ln(V0)
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0.0,0.0,0.0,0.0,0.12,0.0,0.52,0.13,0.0,0.0,0.07,0.02,0.46,0.35,0.08,0.04,0.0,0.29,0.18,0.09,0.0,0.16,0.06,0.22,0.51,40.0,7.9,-2.253794929
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0.0,0.0,0.0,0.0,0.12,0.0,0.52,0.13,0.0,0.0,0.07,0.02,0.46,0.35,0.08,0.04,0.0,0.29,0.18,0.09,0.0,0.16,0.06,0.22,0.51,70.0,7.6,-0.9969586349
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0.0,0.0,0.0,0.0,0.12,0.0,0.52,0.13,0.0,0.0,0.07,0.02,0.46,0.35,0.08,0.04,0.0,0.29,0.18,0.09,0.0,0.16,0.06,0.22,0.51,23.0,10.0,-3.729701449
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0.0,0.0,0.0,0.0,0.12,0.0,0.52,0.13,0.0,0.0,0.07,0.02,0.46,0.35,0.08,0.04,0.0,0.29,0.18,0.09,0.0,0.16,0.06,0.22,0.51,40.0,9.8,-0.8301130356
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0.0,0.0,0.0,0.0,0.12,0.0,0.52,0.13,0.0,0.0,0.07,0.02,0.46,0.35,0.08,0.04,0.0,0.29,0.18,0.09,0.0,0.16,0.06,0.22,0.51,70.0,9.3,1.798072831
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0.0,0.0,0.0,0.0,0.12,0.0,0.52,0.13,0.0,0.0,0.07,0.02,0.46,0.35,0.08,0.04,0.0,0.29,0.18,0.09,0.0,0.16,0.06,0.22,0.51,23.0,12.0,-0.2510287548
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0.0,0.0,0.0,0.0,0.12,0.0,0.52,0.13,0.0,0.0,0.07,0.02,0.46,0.35,0.08,0.04,0.0,0.29,0.18,0.09,0.0,0.16,0.06,0.22,0.51,40.0,11.5,2.033135789
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0.0,0.0,0.0,0.0,0.12,0.0,0.52,0.13,0.0,0.0,0.07,0.02,0.46,0.35,0.08,0.04,0.0,0.29,0.18,0.09,0.0,0.16,0.06,0.22,0.51,70.0,10.7,4.115649329
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.35991016
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.484072969
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.410542234
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.427454075
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.377692565
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.567254391
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.280339484
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.259677592
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.583242551
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.546315278
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.677590994
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.568021556
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.769458829
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.68988623
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.768204124
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.636196097
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.67896462
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.621765833
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.67896462
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.659559992
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.663052835
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.796061078
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.832036181
0.0,9.56,60.33,7.58,0.0,2.3,18.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,2.839663088
