Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Ce,Pr,Nd,S_autres_TR,Th,U,Pu,Np,Am,Cm,S_autres_An,Température,Ph_Final,V0_B_ou_r0_B
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,23.0,8.0,-2.95
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,23.0,9.0,-2.83
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,23.0,10.0,-2.15
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,23.0,11.0,-1.99
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,23.0,12.0,-1.54
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,40.0,7.9,-2.1
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,40.0,8.7,-1.95
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,40.0,9.6,-1.46
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,40.0,10.9,-1.32
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,40.0,11.7,-0.91
