Glass,Al2O3,B2O3,BaO,CaO,Ce2O3,Cl,Cr2O3,Cs2O,F,Fe2O3,HfO2,K2O,La2O3,Li2O,MgO,MnO2,MoO3,Na2O,NiO,Nd2O3,P2O5,Pr2O3,RuO2,SO3,SiO2,SrO,SnO2,TeO2,TiO2,V2O5,Y2O3,ZnO,ZrO2,Temprature,pH,ln_rate
NBS12/28,0.000,27.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.600,0.000,0.000,0.000,0.000,0.000,0.000,60.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,5.283
NBS36/21,0.000,20.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.200,0.000,0.000,0.000,0.000,0.000,0.000,43.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,10.766
NBS31/15,0.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.900,0.000,0.000,0.000,0.000,0.000,0.000,54.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,7.635
B11A3,5.800,18.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,0.000,0.000,0.000,0.000,0.000,0.000,57.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,2.974
B14A3,5.300,25.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,0.000,0.000,0.000,0.000,0.000,0.000,51.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,4.126
B11A6,9.800,19.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,0.000,0.000,0.000,0.000,0.000,0.000,52.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,2.944
B10A1,1.300,17.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,0.000,0.000,0.000,0.000,0.000,0.000,63.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,3.383
SBNA1,1.000,18.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.300,0.000,0.000,0.000,0.000,0.000,0.000,63.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,2.400
SBNA1-bis,1.000,20.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.400,0.000,0.000,0.000,0.000,0.000,0.000,60.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,2.417
SBNA3.5,3.500,20.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.900,0.000,0.000,0.000,0.000,0.000,0.000,60.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.047
SBNA6,6.000,15.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.300,0.000,0.000,0.000,0.000,0.000,0.000,66.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,0.285
NSA,12.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.500,0.000,0.000,0.000,0.000,0.000,0.000,75.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,-1.347
NSAC17,20.100,0.000,0.000,12.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.900,0.000,0.000,0.000,17.000,0.000,0.000,0.000,0.000,0.000,0.000,48.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,2.001
NSAC19,9.900,0.000,0.000,13.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.900,0.000,0.000,0.000,19.000,0.000,0.000,0.000,0.000,0.000,0.000,55.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.808
NSAC21,5.900,0.000,0.000,15.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.300,0.000,0.000,0.000,0.000,0.000,0.000,57.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.792
NSAC0,5.900,0.000,0.000,36.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,57.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.335
NSAC35,6.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.900,0.000,0.000,0.000,0.000,0.000,0.000,58.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,0.182
VSG1,4.750,2.550,0.000,11.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.470,0.000,0.000,0.000,0.000,0.000,0.000,66.310,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-5.339
VSG2,0.800,0.550,0.000,12.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.880,0.000,0.000,0.000,0.000,0.000,0.000,66.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-2.043
VSG3,0.000,8.220,0.000,7.920,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.910,0.000,0.000,0.000,0.000,0.000,0.000,65.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-0.236
VSG4,0.000,2.250,0.000,15.570,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.490,0.000,0.000,0.000,0.000,0.000,0.000,66.660,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-0.868
VSG5,0.000,8.410,0.000,14.260,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.070,0.000,0.000,0.000,0.000,0.000,0.000,65.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-0.130
VSG6,0.000,5.900,0.000,7.890,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.880,0.000,0.000,0.000,0.000,0.000,0.000,66.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-0.690
VSG7,0.000,4.610,0.000,10.890,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.370,0.000,0.000,0.000,0.000,0.000,0.000,66.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-0.634
VSG8,5.010,0.000,0.000,15.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.290,0.000,0.000,0.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-6.101
VSG9,0.000,0.000,0.000,15.780,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.390,0.000,0.000,0.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-1.069
VSG10,4.980,7.870,0.000,8.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.680,0.000,0.000,0.000,0.000,0.000,0.000,66.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-8.993
VSG11,3.120,1.300,0.000,9.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.540,0.000,0.000,0.000,0.000,0.000,0.000,66.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-5.478
VSG12,1.600,7.590,0.000,8.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.070,0.000,0.000,0.000,0.000,0.000,0.000,65.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-2.204
VSG13,2.460,3.680,0.000,11.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.320,0.000,0.000,0.000,0.000,0.000,0.000,66.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-3.499
VSG14,3.050,0.000,0.000,15.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.010,0.000,0.000,0.000,0.000,0.000,0.000,66.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-5.364
VSG15,4.920,0.000,0.000,8.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.020,0.000,0.000,0.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.0,7.4,-6.032
VSG1,4.750,2.550,0.000,11.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.470,0.000,0.000,0.000,0.000,0.000,0.000,66.310,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.472
VSG2,0.800,0.550,0.000,12.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.880,0.000,0.000,0.000,0.000,0.000,0.000,66.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,2.800
VSG3,0.000,8.220,0.000,7.920,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.910,0.000,0.000,0.000,0.000,0.000,0.000,65.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,3.527
VSG4,0.000,2.250,0.000,15.570,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.490,0.000,0.000,0.000,0.000,0.000,0.000,66.660,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,3.116
VSG5,0.000,8.410,0.000,14.260,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.070,0.000,0.000,0.000,0.000,0.000,0.000,65.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,3.700
VSG6,0.000,5.900,0.000,7.890,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.880,0.000,0.000,0.000,0.000,0.000,0.000,66.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,3.564
VSG7,0.000,4.610,0.000,10.890,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.370,0.000,0.000,0.000,0.000,0.000,0.000,66.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,3.614
VSG8,5.010,0.000,0.000,15.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.290,0.000,0.000,0.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,0.937
VSG9,0.000,0.000,0.000,15.780,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.390,0.000,0.000,0.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,3.725
VSG10,4.980,7.870,0.000,8.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.680,0.000,0.000,0.000,0.000,0.000,0.000,66.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.666
VSG11,3.120,1.300,0.000,9.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.540,0.000,0.000,0.000,0.000,0.000,0.000,66.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.786
VSG12,1.600,7.590,0.000,8.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.070,0.000,0.000,0.000,0.000,0.000,0.000,65.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,2.369
VSG13,2.460,3.680,0.000,11.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.320,0.000,0.000,0.000,0.000,0.000,0.000,66.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.921
VSG14,3.050,0.000,0.000,15.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.010,0.000,0.000,0.000,0.000,0.000,0.000,66.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.857
VSG15,4.920,0.000,0.000,8.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.020,0.000,0.000,0.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.086
NSAC19m,11.100,0.000,0.000,15.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.100,0.000,0.000,0.000,0.000,0.000,0.000,62.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.808
NSAC21m,7.000,0.000,0.000,18.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,67.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.792
NSCA0m,8.500,0.000,0.000,8.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,82.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.335
NSCA35m,9.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.600,0.000,0.000,0.000,0.000,0.000,0.000,80.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,0.182
0ZR,0.000,17.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,61.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,6.9,3.611
1Zr,0.000,17.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,60.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,90.0,6.9,2.708
2Zr,0.000,18.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,59.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,90.0,6.9,1.629
4Zr,0.000,18.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,57.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,90.0,6.9,0.262
6Zr,0.000,17.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,55.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,90.0,6.9,-1.661
